楽曲レベル,TOTAL値,COMPLEX,POWER,RHYTHM,SCRATCH,HOLDING,GIMMICK,フルタイトル
3,338,13.66,29.12,8.63,3.21,0.00,0.00,SHINKA [7KEYS BEGINNER / GdbG BMS Package]
3,353,9.65,5.75,4.45,5.90,0.00,0.00,Sunset Toybox [BEGINNER]
3,265,12.59,26.02,10.24,3.76,0.00,0.00,The Grinder [SP BEGINNER]
3,252,13.45,13.41,11.71,5.79,7.36,0.00,Time to beat the odds[SP BEGINNER]
3,260,16.29,36.47,22.78,3.80,0.00,0.00,VEZZELiX [Beginner]
3,236,6.48,9.09,4.72,7.32,10.15,6.78,えいえんの　ゆめを　ください[BEGINNER]
3,280,15.70,17.68,15.11,11.24,0.00,0.00,お兄火[SP Beginner]
3,260,15.15,15.78,11.02,3.96,2.93,0.00,アルスノヴァに喝采を [SP BEGINNER]
3,274,14.41,16.26,15.78,7.69,3.33,13.94,ヒュブリスの頂に聳えるのは [SP BEGINNER]
3,274,14.41,16.26,15.78,7.69,3.33,13.94,ヒュブリスの頂に聳えるのは [SP BEGINNER]
3,240,11.08,5.73,5.62,3.47,0.00,0.00,妹 [Beginner Sister]
3,300,18.28,22.43,14.36,4.22,0.00,0.00,廃液 [Beginner_7K]
3,269,13.81,22.21,14.98,4.00,11.25,0.00,戦　- IKUSA - [7KEYS BEGINNER]
3,260,14.67,21.76,13.63,22.77,0.00,0.00,温泉大作戦 [BEGINNER]
3,260,10.84,4.77,9.43,3.85,0.00,0.00,玉響サーチライト [SP BEGINNER]
3,213,10.62,8.40,8.52,3.38,7.66,0.00,祈雨の菖蒲
3,213,10.62,8.40,8.52,3.38,7.66,0.00,祈雨の菖蒲
3,235,9.76,5.66,4.61,4.96,0.00,4.41,翼の折れた天使たちのレクイエム [Beginner]
3,260,8.75,10.12,6.87,3.17,9.33,0.00,花たちに希望を [SP BEGINNER]
4,275,18.59,25.20,15.65,10.22,2.59,0.00,Back Out [SP BEGINNER]
4,370,19.84,26.94,26.33,15.68,10.46,0.00,Comet (BMS Edit) [SP BEGINNER]
4,380,16.51,23.04,24.18,10.47,3.44,0.00,ECKESACHS[BEGINNER]
4,321,19.29,31.42,26.70,10.94,9.58,0.00,GIFT [7key Easy]
4,300,17.79,25.25,18.45,3.89,0.00,0.00,Good Life [Beginner] obj:BMSSP
4,300,15.49,23.37,20.38,11.98,6.81,0.00,GOODFORTUNE [B]
4,235,16.20,15.53,14.51,4.37,12.50,0.00,GOODRUSH [B / GdbG BMS Package]
4,276,16.57,22.12,13.65,12.22,12.05,0.00,Heartstrings [SPB / GdbG BMS Package]
4,260,19.49,20.53,17.12,4.86,11.60,0.00,Kirakirize World [BEGINNER]
4,274,15.57,19.69,11.64,11.17,18.46,0.00,Kung-fu Fantasia [易]
4,269,21.40,13.59,12.78,7.75,3.15,0.00,KVEYKVA
4,320,24.50,28.73,26.68,9.79,18.52,0.00,Ops:Limone [SP BEGINNER]
4,280,20.96,32.43,28.98,10.84,3.12,0.00,Rush-Hour [SP Beginner / GdbG BMS Package]
4,283,14.85,16.15,20.84,12.42,7.96,0.00,SpellBound (Satellite Palace Remix) [7KEYS NORMAL]
4,340,24.19,35.82,22.11,7.76,0.00,0.00,Sweet Pie
4,280,18.61,26.27,23.19,10.36,0.00,0.00,イナリッチ
4,285,24.55,11.09,13.45,11.04,55.16,0.00,九龍霓虹街 [SP BEGINNR]
4,264,18.81,23.78,22.28,6.46,0.00,0.00,凛として純情  [LIGHT7 / GdbG BMS Package]
4,400,9.16,9.60,5.51,2.92,4.21,87.82,竹 [BEGINNER]
5,267,25.99,40.47,44.60,5.37,0.00,0.00,Amplifying Effect -SP BEGINNER-
5,373,18.59,31.84,28.88,4.87,0.00,0.00,Anti Function -SP STARTER-
5,385,25.69,33.92,30.35,5.71,4.70,0.00,Bad Elixir[STARTER]
5,370,23.66,20.32,39.42,5.41,0.00,0.00,Bouquet colore
5,364,28.97,33.53,37.12,7.29,0.00,0.00,Boxel Adventure
5,300,23.77,32.86,31.37,5.55,11.99,0.00,Edge of bravery[BEGINNER]
5,285,20.57,19.82,17.61,4.58,6.83,0.00,Fine Logic [7key LIGHT / GdbG BMS Package]
5,374,25.01,35.92,27.22,7.36,0.00,0.00,GOODRUSH [B]
5,370,27.30,26.54,29.01,5.78,0.00,0.00,Lacrimosa [SP Beginner]
5,306,23.84,42.54,30.44,5.40,33.01,0.00,Nothing is 4ever [7KEYS BEGINNER]
5,393,24.58,28.89,37.65,18.31,9.56,0.77,クエンさん＊ガバメント
7,576,48.58,59.47,67.87,21.76,0.00,0.00,Anti Function -SP BEGINNER-
7,372,30.62,46.55,42.24,11.56,5.68,0.00,Bad Elixir[BEGINNER]
8,410,39.61,63.69,54.85,17.42,24.56,20.91,MESMERA [SP BEGINNER]
2,244,13.86,7.60,4.59,2.87,0.00,0.00,The Last Page [5Keys NORMAL]
2,244,9.92,5.23,6.49,3.70,5.22,0.00,uruou
3,290,25.05,16.22,38.53,4.49,36.42,16.47,Baby
3,290,25.05,16.22,38.53,4.49,36.42,16.47,Baby
3,260,19.17,25.19,13.29,4.35,31.04,0.00,Contact lens - 1000RI 眼 [5K NORMAL]
3,350,20.49,37.40,11.10,9.49,12.58,0.00,Contact lens - 1000RI 眼 [7K NORMAL]
3,160,16.92,11.58,10.85,9.69,0.00,0.00,data lake [5k Normal]
3,160,21.73,10.24,11.33,4.91,0.00,0.00,data lake [7k Normal]
3,380,16.85,16.00,15.57,5.71,9.95,0.00,DIGITAL DIVER 20XX[NORMAL]
3,354,12.65,5.53,7.80,41.28,0.00,0.00,Kunzite [7K NORMAL]
3,260,18.15,10.01,15.49,4.86,4.78,0.00,Psalms ～魂の還るばしょ～ [SP NORMAL]
3,260,17.18,24.26,26.90,5.02,21.88,0.00,Removal [NORMAL]
3,220,14.61,22.28,9.68,7.78,16.26,0.00,SEKIDO [7NORMAL]
3,274,22.29,18.48,14.75,15.52,0.00,0.00,Shake U
3,243,13.14,9.25,6.12,5.82,0.00,0.00,Wanted Robbery
3,160,14.87,5.25,8.03,4.01,2.62,0.00,プナイプナイげんそう～５人の並行世界から来たてるやまたちが世界を救う！？　プナイプナイinワンダーランド～
3,233,8.69,3.92,3.25,3.46,2.62,0.00,プナイプナイせんそう
3,267,21.19,18.82,15.42,4.75,0.00,0.00,彼女が告白をした理由 [NORMAL]
3,180,16.86,11.92,10.72,3.87,0.00,0.00,晩夏 [SP NORMAL]
4,300,28.25,27.11,49.71,9.72,16.17,0.00,ALICE IN PICOPICO NIGHT (SP NORMAL)
4,335,22.17,20.84,23.65,4.54,0.00,0.00,alicemourn [NORMAL]
4,288,28.65,39.80,28.01,13.57,77.44,0.00,Brand New Stories -NORMAL-
4,270,19.30,15.08,16.28,4.08,0.00,0.00,breathe [SP NORMAL]
4,320,22.18,19.24,22.22,15.75,0.00,0.00,Can't it be true
4,320,21.71,34.70,60.89,4.60,51.39,0.00,Dolphins [NORMAL7]
4,270,20.66,18.76,15.13,4.12,14.99,0.00,Fall Apart [SP NORMAL]
4,270,17.95,23.37,16.30,9.52,45.99,0.00,Flashdance [Normal]
4,280,20.16,16.40,19.38,5.30,0.00,0.00,FURTHER FRONTIER[NORMAL]
4,250,18.90,13.94,8.88,8.20,0.00,0.00,Inside Out [SP NORMAL]
4,210,20.08,32.61,37.90,9.89,0.00,31.49,introspect
4,263,16.62,13.83,14.92,3.60,42.00,0.00,MARENOL[NORMAL]
4,315,25.99,17.20,24.40,5.47,25.37,0.00,Night view [NORMAL]
4,250,24.33,15.16,17.53,8.40,20.15,0.00,Not Useful Information [SP NORMAL]
4,260,15.31,26.62,12.49,15.08,0.00,0.00,NULCTRL [STX]
4,260,24.34,15.06,28.09,3.93,15.12,0.00,Same as you [SP NORMAL]
4,260,23.28,37.95,21.61,9.44,20.59,0.00,SEKIDO [5NORMAL]
4,247,17.22,18.09,25.22,6.74,8.19,0.00,slic.hertz [SP Normal]
4,255,23.58,25.67,25.01,4.66,34.32,0.00,Song [SP NORMAL]
4,255,23.58,25.67,25.01,4.66,34.32,0.00,Song [SP NORMAL]
4,270,15.17,16.79,16.91,6.01,7.01,0.00,Sugar Torture [SP NORMAL]
4,300,22.34,19.40,19.65,4.95,0.00,0.00,Twilight Route
4,290,26.13,39.65,27.14,7.89,7.43,0.00,Vista [7key Normal]
4,340,27.76,35.92,37.04,10.45,0.00,0.00,Wonderful Tomorrow [SP NORMAL]
4,280,18.97,14.62,25.07,4.84,17.75,0.00,ふたりの-><-シグナル [SP NORMAL]
4,280,18.97,14.62,25.07,4.84,17.75,0.00,ふたりの-><-シグナル [SP NORMAL]
4,350,25.64,35.01,25.89,63.98,38.60,0.00,ウタカタ・サマーメモリーズ [NORMAL]
4,300,20.23,33.96,15.19,6.31,10.94,0.00,スピカ [SP NORMAL]
4,327,24.10,16.20,15.55,10.29,6.70,0.00,告白/告別 (BMS edit.) [SP NORMAL]
4,300,19.94,30.90,19.39,4.84,24.47,0.00,爽昧夢想ラバーズ [SP NORMAL]
4,264,16.96,10.42,13.68,5.16,37.98,0.00,風時夏 [SP NORMAL]
5,380,19.71,27.69,32.64,16.89,23.16,0.00,"Flanker-E" [BEGINNER]
5,320,23.88,18.72,27.30,4.59,42.00,25.19,A Gleam for the Sightless [SP NORMAL]
5,391,28.55,51.07,61.83,5.24,0.00,0.00,Agilion[NORMAL]
5,400,32.66,38.89,85.85,5.38,0.00,0.00,Angel's Salad [NORMAL]
5,380,28.25,33.13,30.75,10.79,0.00,0.00,Black Wings [Normal]
5,342,33.49,24.18,39.14,9.89,61.80,0.00,Bouquet [SP Normal]
5,306,21.01,18.18,20.95,6.52,45.30,0.00,Destr0yer[NORMAL]
5,346,29.59,36.87,34.74,6.88,0.00,0.00,Elixir [NORMAL7]
5,280,23.44,24.29,20.87,13.31,9.57,0.00,energy trixxx
5,310,19.00,17.42,21.58,14.40,0.00,0.00,Eternal calm [NORMAL7]
5,300,21.97,40.20,20.37,16.65,81.86,0.00,Fever Dream [7-N]
5,160,20.35,16.19,14.71,8.73,0.00,0.00,For No Reason
5,353,24.97,37.67,51.50,6.36,0.00,0.00,Fuzzy-Navel [SP NORMAL]
5,265,19.89,20.84,25.88,13.89,10.90,0.00,GIMMICK [NORMAL]
5,320,27.04,19.24,23.30,5.21,2.79,86.34,Giselle [n]
5,393,27.78,44.35,83.19,18.18,44.03,0.00,GOODWORLD [N]
5,325,25.42,18.43,26.52,5.38,0.00,0.00,Grievous Fate[NORMAL]
5,350,27.16,38.11,45.67,13.78,23.16,0.00,IMPULSE [SP NORMAL]
5,160,28.64,43.55,43.01,5.90,0.00,0.00,INLINE [5k Normal]
5,270,27.10,32.06,51.89,7.29,23.26,30.00,introspect [SP NORMAL]
5,270,14.79,23.24,12.17,4.10,7.72,0.00,Luxvinore [7-N]
5,348,25.87,30.85,31.42,20.39,47.35,0.00,Mind Disorder [NORMAL]
5,370,25.77,37.06,47.48,4.92,4.68,0.00,New York Back Raise [SP NORMAL]
5,370,25.77,37.06,47.48,4.92,4.68,0.00,New York Back Raise [SP NORMAL]
5,328,27.34,38.99,51.98,16.58,15.02,0.00,NightTheater [SP NORMAL]
5,316,27.27,36.97,37.54,4.92,0.00,0.00,Null Archive [NORMAL]
5,399,30.75,28.41,32.98,11.34,7.79,0.00,Oekaki [SP Normal]
5,399,30.75,28.41,32.98,11.34,7.79,0.00,Oekaki [SP Normal]
5,310,24.69,36.25,36.36,39.72,88.42,57.27,ozma
5,360,22.22,28.52,30.55,3.84,27.89,0.00,Peridot [SP NORMAL]
5,390,44.45,61.12,40.34,5.66,3.03,0.00,PHAZE UPPER [SP NORMAL]
5,321,30.61,36.26,54.07,4.48,52.74,58.10,Random [SP NORMAL]
5,260,20.57,27.49,21.82,30.01,0.00,0.00,Rush-More [Normal]
5,400,36.32,57.86,29.41,5.54,0.00,0.00,Sea Breeze Memory[SP NORMAL]
5,305,17.50,22.81,13.17,3.70,26.49,19.43,Sense [SP NORMAL]
5,348,22.65,28.87,56.50,14.01,0.00,0.00,Shake U
5,338,28.18,31.99,38.02,8.99,31.78,0.00,SHINKA [7KEYS NORMAL]
5,540,20.82,41.17,34.37,50.60,0.00,0.00,Signager (Normal)
5,390,26.18,28.66,31.65,11.65,0.00,0.00,Sunset Toybox [NORMAL]
5,312,20.72,48.42,36.28,9.47,0.00,0.00,techいも [7K NORMAL]
5,321,35.07,41.29,30.98,9.30,58.96,0.00,Time to beat the odds[SP NORMAL]
5,290,20.78,24.15,28.82,6.95,0.00,0.00,Trane [SP NORMAL]
5,320,19.96,26.24,23.21,3.12,45.36,0.00,Twin☆kle Snowglobe [SP NORMAL]
5,307,26.67,56.64,44.34,7.52,0.00,0.00,VEZZELiX [Normal]
5,295,21.25,18.82,31.89,4.39,22.57,0.00,Wit's biz [SP NORMAL]
5,400,20.17,31.84,22.18,4.54,18.86,0.00,ゼイタクするまで抱きしめて [SP NORMAL]
5,280,22.41,30.15,26.38,14.76,0.00,0.00,マツユキソウ [Normal]
5,250,14.52,22.00,21.61,4.89,15.94,27.96,夏色海風 [かんたん]
5,305,26.92,28.19,35.67,7.94,20.71,0.00,家物語 [SP NORMAL]
5,275,18.66,11.65,20.00,7.84,0.00,0.00,東 [NORMAL]
5,338,22.95,38.31,37.78,34.25,9.58,0.00,温泉大作戦 [NORMAL]
5,620,23.16,38.16,40.66,8.78,7.09,0.00,田中 [NORMAL]
5,280,17.50,23.20,20.02,6.53,0.00,0.00,神様の恋心
6,390,29.30,39.03,23.75,20.17,24.67,0.00,"Fishpot"
6,380,27.13,39.73,28.71,44.84,12.59,0.00,(´0｀*)♪(≧Σ≦)♪(・ε・。)♪(￣∇￣；)♪（0∀0）=3♪o(･_･θ [SP NORMAL]
6,383,32.97,60.41,35.82,4.82,0.00,0.00,Armageddon[NORMAL]
6,361,34.28,31.06,46.67,5.83,0.00,0.00,Aurora [NORMAL7]
6,400,33.55,43.54,82.18,24.52,0.00,0.00,Bouquet colore
6,380,26.89,42.46,43.51,5.86,0.00,0.00,Breeze [NORMAL7]
